Date of Exp,Star Rating,Reviews
2023-05-10,1,"Dropped my car off at 08:15 for an inspection of the front shock absorbers and to look into a EPC issue. Was told by the service advisor I should expect a call in the afternoon. I ended up calling them at 3:45pm to find out what was happening with the car. The EPC issue was resolved with a software update. Both shock absorbers were confirmed to be leaking by the technicians and was mark as advisories on the health check sheet. The car is in warranty but apparently the leak isn’t bad enough to be deemed a warranty failure yet according to the service administrator.

Don’t understand how the technician is advising I change the parts but the administrator is refusing to replace them under warranty. In the mean time I am left with a car with faults that could be dangerous and VW warranty that isn’t worth the paper it’s written on.

Still waiting on a call back from Thursday the 11th regarding the issues. Called on the 12th to chase was told by one member of staff that the warranty doesn’t cover me damaging the vehicle no idea how I would damage the shock absorbers. He transferred me to a lady who said everything is sorted and will be fix on the 26th. Email confirmation she sent mentioned nothing of the parts being replaced under warranty. Called back to be told they will call me on Monday. It’s Wednesday morning now and a still not contact from anyone at VW.

The level of service is embarrassing I spent a lot of money on a car with you to be ignored when the car develops faults. I wouldn’t give you any stars if possible. Feel free to contact me if you can be bothered."
2023-02-08,1,"Nothing but issues with this dealership. No one calls you back, they don't fix issues and say they have...Held our car ransom until another Audi dealer paid. The worst customer service received by a dealership!
I have already given a previous review and Inchcape replied asking me for more detail, which I have done and heard nothing! Why bother asking for feedback when you do nothing about it anyway!"
2023-04-28,5,"I dealt with the Norwich branch and from my first call with Sophie Tudor, nothing was too much trouble. I had a very specific spec of mini I wanted and she helped me through the whole process and delivered the car personally. There was no hard sell, just personable and knowledgeable service.
I am super happy with my car and would definitely make Sophie my first call for any future car purchases."
2023-04-27,3,"I just realised that the recent check up of my car (major) is include the battery change for my keyfobs, if I realised this early or been told by the time I requested the battery changing job in Feb, I would rather wait to do that together with my car major check up in April. That could save me £16.50 and the time as well. My refund requested refused. Other than that, overall experience is well."
2023-04-27,5,"Sales team not great at getting back but service manager was excellent . , once under his control .Subage Athwal was excellent and sorted everything out for my Mum Vw Up. Nathan Edwards was thorough
In checking the car, thank you
Nathan .
Very happy with service department same standard as audi."
2023-04-28,2,"Intermittent fault on fron sensor of the car. Garage checked cars computer and found no fault, did not appear to have examined the car, apart from cleaning the sensor and did not drive the car. Sensor going off in garage car park. Said there was nothing else they could, despite the fact this fault caused a great deal of aggravation because of the noise"
2023-04-27,5,"I had recently had a difficult time with a Nissan electric car, and Motability had allowed me to swap my vehicle. I called in as the C-HR was the vehicle I nearly chose last year, but the Leaf had won out. I met Mark and found him extremely knowledgeable, professional, and helpful. He is a great ambassador for the company. As I was flexible over colour, he managed to get me a vehicle very quickly. I am still waiting for some of the competitors, including the Nissan dealer, to call me back and I am driving my new car! Thank you so much! Special thanks to Mark!!"
2023-04-22,5,"just bought my new car from Mercedes Liverpool. Staff couldn't be more helpful. Will, who sold me the car couldn't do any more for me, so organised, knowledgeable. always in contact throughout the purchase. finance manager was really helpful and pressed to get the best deal for myself. could not recommend highly enough for the Gents who dealt with me. Would defiantly recommend using Mercedes Liverpool to purchase from."
2023-04-27,5,"My car was booked in to check on an engine warning light that had come on. I was kept up to date of the appointment with videos of my car being checked and informed of the problem found. It was quickly fixed and I also opted to have my wiper blades replaced and an oil top up! Also a complimentary car clean. Very reasonably priced and all the work carried out within a few hours. All the staff were lovely and welcoming and Adam, who handled my appointment, was so polite and friendly! Made me feel relaxed and welcome. Highly recommend Inchscape Manchester, my car came back clean and purring like a kitten! 😁"
2023-04-23,5,"We have bought many cars from Inchcape Nottingham and have never been disappointed. Yugesh has always been fantastic and nothing is ever too much trouble. The process has always been so easy and hassle free.
Brilliant customer service Yugesh. A 10 out of 10 every time.
If you could bottle his enthusiasm you would be worth a fortune!
With thanks and best wishes.
Chris Sedgwick"
2023-04-26,1,"Great informative service from Jas at used car sales desk, but that’s where the good service ended. A very arrogant sales manager struggling to admit their mistakes. My car was delivered in a poor state, unfinished, dirty inside out, with additional mileage on the clock since we agreed the deal. Absolutely shocking service. Despite promises to reimburse me for valeting, three weeks on and I still have not heard back from MB Stratford and not yet refunded as promised. I would avoid this dealership if I were you."
2023-03-30,5,"Swindon Audi completed an Oil and Inspection Service on my car to the high standards that you expect when running an Audi.
All staff were friendly and professional throughout the booking process and visit. Quite enjoyable really.
The Audi Cam video was informative and professionally captured, a nice touch - thank you."
2023-04-25,5,"Keith Edwards made my experience e pleasant one. He was as attentive and helpful as ever.
I picked up my new yaris and completed the paperwork easily. I didn't feel pressured into extras however I was informed of my options."
2023-05-02,5,"Absolutely fantastic service! All of the staff were extremely professional and polite. I was kept up to date with how things were going with the car, and just found the whole experience very positive."
2023-05-22,5,I have sold my car quickly and without any hassle. Inchcape manager was very helpful and friendly.
2023-05-12,5,"This was a nice and easy way to sell my car, entered some details on their webpage, received a call from the team to confirm the details. The cash was in my bank straight after I took it to the dealer. A great service."
2023-04-18,5,"Travelled down from North Yorkshire to this dealership with 2 other cars in mind at other dealerships. I conducted the business with both Jack and George, and found them to be both pleasant and professional. We agreed on prices and the deal started. I am pleased to say that the transaction went through seamlessly. I was sorry to see my old car go, but am overjoyed with my new purchase. Well done guys and thank you to you both for looking after us. Would definately consider a further purchase from Inchcape Leicester."
2023-05-04,5,Excellent service and friendliness from all staff. My car was given back to me on time and was cleaned inside and out. This is not the first time that I get this service from them. I will definitely tell my friends and family and most definitely bring my wife's car to them as well. If I could rate a 6 star I would. Well done Mercedes Stratford-upon-Avon. 👏
2023-04-24,5,After visiting all the other car sale showrooms in the are we found that the Mercedes Garage and Gary were by far the best. He made me feel like a valued customer and did everything to make buying my new car an easy experience
2023-04-21,3,"Log book was not filled in or stamped. It’s one of the main reasons for getting it done at the dealership; phoned & sent a message afterwards, was told someone would contact me but still nothing. Check in and out was smooth otherwise.
Report of car assessment (with options to choose further services if assessed as lacking) was sent over an hour after the message that the car was ready to collect.
I asked at the time of booking and when checking in the car, about the upholstery cleaning cover I purchased with the car. I was told this would be sorted with the Sales team but it has been radio silence and no upholstery cleaning took place."
2022-10-24,1,"Left a previous review and although I was promised to have the issues fixed I am still waiting...
Someone called me but never followed through on the promises made with regards to addressing and resolving the issues....
April 27th 2023 and still nothing...
Avoid them at all cost!"
2023-05-04,5,Able to make the appointment quickly (days rather than months) and well looked after on the day. Able to work from the dealership rather than have to leave and come back.
2023-05-05,5,"Excellent! Brilliant price for my car, easy process and picked up efficiently!
Would highly recommend and Joe was brilliant!"
2023-05-04,5,Excellent service can’t fault them
2023-04-21,5,"toyota guildford -
Customer service was excellent from booking to drop off and pick up. Simon in the service department (?) was polite, professional and personable. Explained what was to happen on the day, how long it would take and then phoned me when work complete explaining what had been done etc. All highly satisfactory and level of customer service i expect from Toyota and (frankly) why i return again and again for service, repairs etc. despite you being significantly more expensive than my local garage."
2023-04-25,5,"Edward, Peter and Monteiro did an excellent job. I couldn’t be happier with my choose to buy from Toyota. Well done for all of them. Excellent customer service."
2023-05-22,5,Great professional service from initial submission to completion. Would recommend. Thank you Joseph Vaughan
2023-04-11,5,I have recently bought a new car on a PPC trading my C-HR for a Yaris X. Charles Jourdaan was my sales representative who was faultless throughout the procedure. As my car hadn’t arrived on the due date he arranged a coutesy car for me to use (as my car needed its first MOT) until my Yaris X arrived. He kept me updated throughout the whole time and was extremely polite annd courteous and very knowledgeable about all aspects of my new car at the handover. He’s certainly an asset to Inchcape Warrington.
2023-04-05,1,"It took five phone calls to get a minor fault fixed on my F-type Jaguar' just a faulty windscreen washer. Two staff members were very argumentative and unhelpful on the phone, offering nothing but excuses. This was a recurring fault from the last service. They did eventually fix it, when I pointed out it was an MOT fail. A backstreet garage could have done better."
2023-04-18,5,"I must say selling a car to Bravoauto was extremely easy and hassle free. The used car buying team were efficient and gave me a Better price than webuyanycar, cazoo or motorway. The paper work was easy and settlement was paid of quickly. A special mention to Elliot lake for his great service! I f you have a car to sell give these professionals a call."
2023-04-23,5,"Gary went above and beyond to help me with everything that I asked him.
It made my experience an absolute success.
I would highly recommend the dealership and especially Gary who is very knowledgeable."
2023-05-05,5,"It’s been a long time since I was impressed about a service, dealing with inchcape was the best every. Thanks to all who made this experience great and special thanks to Joseph Vaughan :)"
2023-05-02,5,"Speed and honesty.
No messing around, contacted me as the work was done.
And that's what I want, we need to be back on the road as soon as possible.
And that's what happened with me, and I appreciated this service. Thumbs-up"
2023-05-05,5,"Sold a Ford Ranger to Joseph. Great communication throughout and a seem less transaction. Barry who collected the vehicle was also very good.
Thanks
Jake"
2023-05-12,5,Car was collected and returned as agreed; was given excellent cost saving advice from staff
2023-04-15,5,Staff very helpful in fitting me in last minute for a tyre change and service after I was let down last minute by another Audi dealership due to staff shortages. I would make this my preferred dealership if it was closer.
2023-04-24,5,"I am so pleased with VW Stockport. My stone-guard had failed and was fowling the wheel. Ben booked me in the next day. I requested the car be fixed by 14:00 so I could take my autistic son out. Walking home Will rang saying the wheel nuts had been overtightened and wouldn’t come off. I may need a new hub. I cancelled all arrangements for the rest of the week.
Will later called, they had got the hub off and completed the work. Incredibly I was able to pick my car up on time. The work took Mike extra time so it cost more but far less tan a new hub.
I should like to thank Will and Ben (service colleagues) for understanding my needs going the extra mile, keeping me informed throughout. Special thanks to Mike (mechanic) for having the skill and making the effort to save my hub and get me back on the road remarkably ahead of schedule.
Brilliant work. Thank you, Simon."
2023-04-14,5,First class service. Contacted by Gavin very soon after I submitted my enquiry online to sell my vehicle. Inspection of my vehicle arranged soon after. Agreed sales price upheld and the funds were received into my bank account whilst I was still at the appointment. Couldn’t have asked for a better service!
2023-03-31,1,"We’ve (unfortunately) now had three very poor experiences with Swindon Audi. The experience begins with front desk staff who are busy playing with their phone or chatting to other members of staff. When they do finally look up and ask what you want they will direct you to someone else who also couldn’t give a toss. For servicing we were booked in only to arrive and be told that the service manager had gone on holiday and forgot to put our booking on the system (despite having a confirmation email..?!). One our second return journey the service took twice as long as expected because they were ‘busy’. Service completed and car returned without a valet (despite this being part of the service).
Comms are poor, staff are rude, jobs are half done. We won’t be returning and our experiences have tarnished our view of Audi."
2023-03-28,5,"We placed an order for a new Yaris Cross Excel in November 2022. We were expecting delivery late April however, the car arrived early. We were very competently helped by Josie Fowler who kept us informed with progress. We were supposed to pick up the car on the Tuesday but there were problems with the DVLA new car registration system. We were kept fully informed about the situation by a sales manager and were able to pick up the car at handover on the Wednesday. We have always been very pleased with all transactions with Inchcape Derby and would recommend them to anyone wishing to purchase new or used Toyota vehicles."
2023-05-12,5,"Smooth and helpful
Liked the review video of potential future service areas"
2023-04-08,5,"the best buying service i have every come accross in 40 years of driving, words cant sum up how they make you feel so special as customer and nothing is to much bother. the best service in the world!"
2023-04-08,1,"Made 2 enquiries via the Inchcape Warrington website but got no reply. Rang twice on option 5 but no answer.
Also wife took her car in for MOT and service and was told it had been washed and vacuumed inside - it hadn't. Has certainly gone to the dogs since changed from Bentleys."
2023-04-27,3,Great staff and service but unfortunately the problem was not fixed.
2023-03-30,5,"We found a cracked left mirror cover of my new purchase Mercedes-Benz when just pick up at the Juniper In, Warrington. But we immediately told the helpful staff Asha to follow up repair services of my new purchase car. Thank you so much for her attentive and excellent service. We'll without hesitation to recommend Asha is the best colleague in your company. Also Sale Manager Syed was very good listener and friendly. Syed introduced the suitable Mercedes-Benz to us. We are so happy with their services and we had purchased a good one 😍. Thank you so much !"
2023-04-21,1,"It absolutely pointless taking your car there to be repaired, they don’t listen and try to argue or deny anything they have done could be at fault.

Air con service only filled last June now empty and wanted to charge me another £135 to just look at it, but they tell me they can guarantee it’s got a leak, why not check that when it first came in before charging me to fill it to know it’s going to leak, so you can charge me another 135 to tell me it’s going to leak and then charge me to fix that and then charge me to fill it again?

No wonder Mercedes are losing customers by the thousands, daylight robbery at its finest!"
2023-04-24,5,Sold our Ford Focus through Bravoauto. Gavin made the whole process quick and easy with the car being picked up and the finances all sorted within hours. Thank you to Gavin for your help with selling our car!
2023-04-08,1,"Conflicting information given to me. In November 22, I was told that service was due and I booked my car for service and MOT. I was told that usb's in back rows are not working and will need £120 for diagnostics, which I didn't go ahead!
I got my car for brake disc and pad change on 8th April 2023, when I was told that service wasn't done in Nov 22, in spite of me booking for service as advised by EMAC. I was also told that USBs are working fine! I don't expect Land Rover to be stooping to this level to extract money from customers!!"
2023-04-29,5,What a great experience thank you for all your help Annie rose your a great asset to the garage you made it easy to buy my new car thank you
2023-04-21,5,Fantastic experience selling our BMW X1 SUV. We spoke to Holly who guided us all the way through and she was so helpful! Very grateful Holly for your caring attitude. Thank you so much. Excellent service.
2023-04-20,4,Customer service and servicing completed to my satisfaction. Only fault was I didn't get a call from the service department to let me know it had been completed and the car was ready for collection
2023-04-22,5,"Great choice of cars, friendly, professional employees not pushy in selling the cars. Provided alternative finance options.
Nice people to deal with"
2023-05-02,4,"They collected my car before 9am and returned it all serviced and MOT'd.
A great service."
2023-05-22,5,Super friendly and professional service throughput- cannot be faulted at all
2023-04-14,5,"Very helpful and polite staff. Excellent Customer Service. A special thanks to James who explained everything to me regarding my car service and took all my doubts away.
5 star service.
Thanks."
2023-05-19,5,"Fabulous customer experience at Mercedes Benz Southport, the service I received from Becca Wilson was excellent"
2023-05-16,1,"Time-Wasting 5 out of 5
Returning your car in a worse state than it comes in 5 out of 5
Honesty 0 out of 5
Communication TBC, you receive none


Where to start? I thought the receptionist referring to the service engineer as a half-wit when she’d forgotten to mute the phone was a little harsh. However, I realise it is a case of don't shoot the messenger and the staff here are caught up in the middle of this chaos day in day out.

A little background. I’ve been with the garage for over ten years. In that time I’ve had my car damaged while under their care three times. The first time they did significant paintwork damage to the fender. The second time they damaged the driver's door. When I highlighted the damage to the driver's door they performed a low cost ‘magic repair’. This consisted of a touchup and a new lacquer.

When I arrived to collect the car after a long period of silence, they wasted an hour of my time stalling while I saw a bodywork specialist leaving. The freshly lacquered door contained a larger chip than they’d previously fixed with no coating so could have only happened after the event. They admitted this mistake but offered a second magic repair as a remedy. This chip was sizeable and would require a respray to be returned to the original condition.

I had a breakdown right next to the garage so was forced to go to the same dealership again. They have an SLA for breakdowns to respond to the customer within 7 days. 2.5 weeks later I was without a car, holding a BMW warranty and in absence of any update whatsoever. After emailing and calling twice I was informed that the item was not covered and also due to it being an premium M Car there would need to be a larger repair (twice the size). The explanation for it not being covered by what was described as an after-market warranty (BMW’s extended warranty) was that there was significant corrosion to the suspension spring. I have all of the vehicle health check videos. They all refer to the suspension being good. The MOT has no advisory and suspension is a mandatory item for review. Yet the multiple thousand pounds worth of damage is not covered because of the corrosion (in under 3 months since MOT). I would like to hear from BWM what their SLA’s include with their warranty provider. I suspect they have hit their targets on refusing legitimate customers' repairs. Needless to say there is no repair to the bodywork inspite of requesting this be actioned while the vehicle was off the road. An email was missed due to annual leave, the same reason I was given for the last 4 emails regarding the bodywork damage that was made by the same dealership in the previous service. I feel like Out of Office notifications have been around for some time… perhaps as long as that excuse.

This garage is dysfunctional, unreliable and dishonest. If you value your car then I would recommend you go elsewhere and check the T&C’s of your BMW Warranty. If you like a cheap Latte and are happy having your time wasted then this is the place for you, I’d avoid the free wash though unless you’ve checked your paintwork before and after. PS. If you’re told your brand new wipers are corroded and need replacing that pays for a coffee elsewhere… or about half a Nespresso machine."
2023-03-28,1,"Inchcape Landrover Service @ Guildford, my car went in after breakdown and 5 x weeks later i got it back only to find that some problems were still there,
5 x weeks was bad enough, but all the chasing and lack of return calls, added to this when you are told that pre/booked appointments are a priority and breakdown will only be looked at when there are slots available dont go down well.
They are a shambles and should be avoided."
2023-04-21,5,"This was a great experience from start to finish. The online appraisal was very straightforward, expertly and professionally guided by my contact Elliot. There were no issues when I dropped the car off at the dealers, and Elliot even called me to check the payment had been processed successfully."
2023-04-22,3,"Car wise, I guess the service was good as it's VW. Lovely reception area waiting. Staff really nice. The only thing that disappointed me was I was told I'd get a free valet. The inside of my car wasn't bad, the boot needed a hoover and outside needed a clean. They totally ignored the boot and maybe popped a hosepipe over the car. I'd rather I was not offered the valet than feel the way I did. I will think twice about driving to Chester from Liverpool in the future and use a different franchise. Don't offer a service then do a bad job of it. I hope my car service didn't have the same lack of care."
2023-04-11,5,"Easy and quick check-in process. Courtesy car option was great. You did what you said you would do. My car returned to me on time, nice and clean. Friendly service throughout. Overall a professional and swift service, hassle free."
2023-04-26,5,"Purchase of my new car, both Jeff and Calum were excellent. Thank you, excellent service from this dealership."
2023-03-29,1,"Upon picking my vehicle up the person on reception went to the service office and returned with a envelope with my registration on it, opened it and tried to give me a key that was not mine. I told him that is not my key and he replied ""Yes it is"" dumbfounded by this i once again told him it was not my key. He then returned to the service office and then returned with my key. Then to add injury to insult i went to my vehicle to find one side of it covered in mud (Picture's can be supplied if needed) which wasn't the case when i dropped it off earlier that day. I think the way myself and my vehicle were treated that day totally unacceptable."
2023-04-29,5,"Michael looked after us from the start, very professional and offered us a good Part ex on our car.
He kept in touch and the car was presented well when we came to collect"
2023-03-31,2,"My vehicle was booked in for a service, repair to a door lock and to reattach the hose serving the rear washer to the bottom of the washer bottle on 31/03/2023. The service was completed, but they “ran out of time to deal with the other items”. The vehicle was left at the garage, as I was called down to London due to a family emergency. Today, 11 April, I was called and advised that the door locked had been repaired, but they had forgotten to rectify the simple fault with the rear washer. This is not the service I expect from a prestigious brand main dealer. Hopefully the remaining fault will be completed without further delay."
2023-04-28,5,"The staff every single one of them but especially George we’re very helpful, friendly and professional."
2023-03-30,5,I travelled 300 miles to pick up my lovely Peugeot 2008 GT line car and I can say that Marc Melcher who managed the sale and all the other staff were first class with their service. The whole set-up was extremely professional and would reccomend anyone buying a car from Bravaauto in Halifax. Thank you
2023-04-23,5,"Inchcape Mini Ipswich
I have received a Superb service at Inchcape Mini Ipswich.The salesperson David Fisher was just remarkable and fulfilled my Every need.Very impressive"
2023-03-14,5,Chris in service could not have been any more helpful. He arranged a replacement Motability car for me and then communicated the repair progress. The job was fixed sooner than expected. Thank you so much to Chris Machell and the team at VW Manchester.
2023-04-01,1,"Booked my vehicle in for a scheduled service (£850) agent didn’t seem to really have a clue what she was doing. I received a booking confirmation but it was for the wrong dealership. Called back to change and I had to confirm all my details again to be told they would call me back in 10 minutes. I cancelled the booking and rearranged at another dealer for £150.00 less, will never use again."
2023-03-24,5,The car I was part-exing had been hit & run the day before collecting new one so didn't expect to get new one but they were more than fair & made it possible for me to pick new one up same day. I wouldn't go anywhere else !!!
2023-05-02,5,"Staff very friendly and professional, the work carried out on my vehicle was to the highest of standards definitely recommend to everyone."
2023-03-29,1,"I have had a catalogue of poor service culminating in January with the car being booked in for work to be done and being told on collection that the work hadn’t been done due to the part not being in stock, so a wasted trip for me and a second booking needing to be made. On the second booking (this booking) I was told to collect the car at 5pm which I promptly arrived for to then be left waiting 45 minutes for the car to be ready. The car was also booked in for a service but on arriving home I have found the computer on my car has not been updated so the car still states it needs a service. Is this going to require yet another return to the service centre? The online service history has also not been updated. I will not be using Inchscape Chester again."
2023-03-24,5,"Sean Nealon was our sales representative at Mercedes Leicester, he couldn't do enough for us, answering every question we asked, always at the end of the phone when we needed him (even on his day's off) and still been supportive after collecting our new car. I can rest assure that if there is anything I need, Sean will be more than happy to help, which is hard to come by that sort of service these day's"
2023-03-27,1,"Poor service and ridiculously high priced. Took me 10 times before I could get through to them, only to be hung up on. They wanted to charge me £400 just to investigate further after already paying for a check. They had the car all day and suggested to keep it for another day, they should have been able to carry out the diagnostics in one day. For less spend, I was able to take my car elsewhere where they investigated further and fixed the issue the same day!"
